00420.ppm;828;542;851;565;3
00420.ppm;361;548;383;570;3
00421.ppm;946;554;976;581;13
00422.ppm;599;567;624;591;23
00423.ppm;365;469;451;547;25
00423.ppm;1151;445;1245;533;25
00425.ppm;302;503;342;543;5
00425.ppm;900;500;941;541;5
00425.ppm;302;543;342;583;10
00425.ppm;903;541;944;582;10
00426.ppm;1077;391;1197;502;25
00427.ppm;294;383;388;479;5
00428.ppm;325;548;353;576;7
00428.ppm;937;543;966;572;7
00430.ppm;929;414;1008;488;13
00431.ppm;275;527;314;564;8
00431.ppm;1141;496;1179;536;8
00432.ppm;237;560;263;586;8
00432.ppm;942;512;970;540;8
00433.ppm;510;529;566;583;25
00434.ppm;167;194;257;286;5
00435.ppm;834;535;862;564;9
00436.ppm;794;531;816;553;5
00438.ppm;533;559;554;580;41
00438.ppm;841;556;862;577;41
00439.ppm;1194;504;1251;564;8
00440.ppm;1243;492;1324;562;23
00441.ppm;1063;531;1112;580;8
00443.ppm;817;550;847;578;18
00443.ppm;823;579;843;598;8
00443.ppm;470;551;502;578;18
00443.ppm;477;578;497;596;8
00444.ppm;379;528;427;573;20
00444.ppm;964;531;1009;573;20
00444.ppm;389;569;419;600;7
00444.ppm;972;572;1001;601;7
00445.ppm;1021;498;1066;544;5
00445.ppm;213;519;254;561;5
00446.ppm;401;507;441;544;17
00446.ppm;767;497;803;530;17
00446.ppm;774;568;807;601;38
00447.ppm;1182;418;1268;495;13
00448.ppm;581;598;602;620;38
00449.ppm;212;468;254;507;13
00449.ppm;812;448;853;486;13
00450.ppm;1104;359;1181;429;11
00451.ppm;790;558;819;585;11
00452.ppm;876;543;914;578;25
00453.ppm;1215;332;1302;407;28
00453.ppm;895;497;922;524;11
00453.ppm;224;407;279;457;28
00455.ppm;1094;362;1184;442;11
00456.ppm;421;414;476;470;3
00457.ppm;1243;418;1301;475;2
00457.ppm;517;466;554;504;2
00458.ppm;989;493;1018;525;12
00459.ppm;877;515;912;548;25
00459.ppm;884;548;909;573;1
00460.ppm;829;456;859;484;12
00460.ppm;831;481;862;512;33
00461.ppm;1231;264;1302;331;12
00463.ppm;555;628;585;659;38
00465.ppm;1241;315;1331;395;13
00466.ppm;1215;399;1267;443;13
00466.ppm;514;468;548;497;13
00466.ppm;1226;440;1263;475;35
00466.ppm;519;494;543;518;34
00467.ppm;1132;501;1168;537;3
00468.ppm;1128;506;1165;544;3
00470.ppm;823;489;847;513;1
00470.ppm;904;514;938;549;13
00470.ppm;1135;218;1248;331;12
00471.ppm;789;491;817;520;12
00472.ppm;880;500;925;544;12
00473.ppm;507;532;540;565;10
00473.ppm;1152;506;1184;538;10
00474.ppm;1242;549;1274;581;7
00474.ppm;514;569;545;600;7
00475.ppm;1233;468;1310;543;7
00476.ppm;163;518;199;555;7
00476.ppm;1152;523;1187;558;7
00477.ppm;298;506;338;546;5
00478.ppm;921;470;963;512;5
00478.ppm;218;483;258;523;5
00479.ppm;982;498;1025;539;13
00479.ppm;990;539;1020;569;40
00480.ppm;1055;444;1103;492;2
00481.ppm;908;502;944;535;18
00482.ppm;732;526;768;564;12
00482.ppm;260;528;296;570;17
00482.ppm;283;564;303;590;17
00482.ppm;1055;566;1071;587;13 
00483.ppm;150;510;203;563;7
00483.ppm;1182;531;1232;583;7
00484.ppm;339;509;372;542;16
00484.ppm;1002;529;1035;563;16
00485.ppm;203;377;278;454;16
00486.ppm;410;519;465;574;7
00487.ppm;625;606;644;625;38
00488.ppm;494;611;516;633;38
00490.ppm;842;516;870;539;13
00490.ppm;644;596;668;620;38
00490.ppm;847;536;867;556;40
00491.ppm;430;568;488;637;38
00492.ppm;893;528;923;557;11
00493.ppm;910;450;966;501;18
00494.ppm;1113;300;1211;395;1
00496.ppm;511;494;552;536;8
00496.ppm;509;535;550;576;10
00497.ppm;392;611;425;651;38
00498.ppm;249;586;298;634;38
00498.ppm;248;482;292;526;17
00499.ppm;1009;497;1056;539;13
00500.ppm;952;499;1000;546;5
00501.ppm;943;557;962;577;4
00501.ppm;610;558;628;577;4
00501.ppm;120;282;227;386;17
00501.ppm;107;637;216;748;38
00502.ppm;57;556;85;584;17
00502.ppm;579;555;606;582;17
00502.ppm;558;577;592;611;38
00503.ppm;354;579;423;650;38
00504.ppm;379;595;410;627;38
00505.ppm;1052;480;1092;521;12
00507.ppm;878;473;933;524;11
00507.ppm;657;587;673;605;38
00508.ppm;865;495;908;534;11
00509.ppm;833;487;877;527;11
00512.ppm;230;486;270;522;5
00512.ppm;1139;490;1179;530;5
00513.ppm;142;501;197;556;7
00514.ppm;381;511;418;548;10
00514.ppm;1168;491;1206;530;10
00515.ppm;257;361;333;435;3
00516.ppm;240;275;298;333;34
00517.ppm;271;422;345;496;10
00518.ppm;451;526;499;574;7
00519.ppm;454;531;507;584;7
00520.ppm;380;507;436;565;10
00521.ppm;377;574;405;604;7
00521.ppm;946;565;976;595;7
00523.ppm;1285;512;1330;555;10
00523.ppm;455;515;502;562;10
00524.ppm;187;530;241;584;7
00524.ppm;1219;528;1271;580;7
00527.ppm;874;426;904;456;10
00527.ppm;359;420;389;450;10
00528.ppm;985;339;1026;380;7
00528.ppm;166;415;205;455;7
00530.ppm;425;401;460;435;10
00530.ppm;1010;401;1043;434;10
00531.ppm;484;443;504;463;10
00531.ppm;909;431;931;453;10
00536.ppm;27;428;57;458;17
00536.ppm;327;452;353;478;17
00536.ppm;724;479;740;495;38
00542.ppm;842;440;866;464;12
00544.ppm;1054;297;1122;358;11
00544.ppm;990;425;1028;459;25
00544.ppm;744;438;762;458;1
00545.ppm;213;435;247;474;15
00548.ppm;775;432;811;468;14
00548.ppm;782;469;807;494;36
00551.ppm;937;465;966;493;16
00552.ppm;537;512;554;529;8
00552.ppm;538;528;554;544;10
00552.ppm;814;508;832;526;8
00552.ppm;815;525;831;541;10
00554.ppm;947;472;984;507;18
00556.ppm;1195;499;1253;557;38
00557.ppm;273;462;317;502;23
00557.ppm;458;461;506;508;13
00560.ppm;1039;173;1099;233;3
00564.ppm;755;368;799;408;11
00565.ppm;731;336;764;370;12
00566.ppm;655;395;689;429;9
00566.ppm;124;419;156;451;9
00566.ppm;461;489;481;508;38
00567.ppm;1050;409;1109;460;22
00570.ppm;881;416;914;449;9
00571.ppm;1287;361;1308;384;17
00575.ppm;403;474;435;506;38
00593.ppm;584;510;608;534;38
00599.ppm;700;454;722;476;9
